07-04-2026 13:37:43 | GET | cafeteria-api/produtos
07-04-2026 13:37:43 | GET | cafeteria-api/produtos
07-04-2026 13:37:45 | GET | cafeteria-api/categorias
07-04-2026 13:38:38 | GET | cafeteria-api/produtos
07-04-2026 13:38:55 | GET | cafeteria-api/categorias
07-04-2026 13:39:57 | GET | cafeteria-api/categorias
07-04-2026 13:39:59 | GET | cafeteria-api/categorias
07-04-2026 13:40:03 | GET | cafeteria-api/categorias
07-04-2026 13:40:04 | GET | cafeteria-api/categorias
07-04-2026 13:40:07 | GET | cafeteria-api/categorias
07-04-2026 13:40:13 | GET | cafeteria-api/categorias
07-04-2026 13:40:14 | GET | cafeteria-api/produtos
07-04-2026 14:15:39 | GET | cafeteria-api/categorias
07-04-2026 14:15:40 | GET | cafeteria-api/produtos
07-04-2026 14:31:38 | GET | cafeteria-api/produtos
07-04-2026 14:32:23 | OPTIONS | cafeteria-api/produtos
07-04-2026 14:32:23 | POST | cafeteria-api/produtos
07-04-2026 14:32:23 | GET | cafeteria-api/produtos
